iter	dst	dct	klt_sep	klt_nsep	rdot_sep	rdot_nsep
222	34.95	36.23	34.87	34.49	34.4803	33.3870
223	34.95	36.23	34.87	34.49	34.4795	33.3863
224	34.95	36.23	34.87	34.49	34.4787	33.3855
225	34.95	36.23	34.87	34.49	34.4778	33.3848
226	34.95	36.23	34.87	34.49	34.4770	33.3840
227	34.95	36.23	34.87	34.49	34.4762	33.3833
228	34.95	36.23	34.87	34.49	34.4754	33.3826
229	34.95	36.23	34.87	34.49	34.4746	33.3819
230	34.95	36.23	34.87	34.49	34.4738	33.3812
231	34.95	36.23	34.87	34.49	34.4729	33.3805
232	34.95	36.23	34.87	34.49	34.4721	33.3798
233	34.95	36.23	34.87	34.49	34.4713	33.3791
234	34.95	36.23	34.87	34.49	34.4706	33.3785
235	34.95	36.23	34.87	34.49	34.4698	33.3778
236	34.95	36.23	34.87	34.49	34.4690	33.3771
237	34.95	36.23	34.87	34.49	34.4682	33.3765
238	34.95	36.23	34.87	34.49	34.4674	33.3758
239	34.95	36.23	34.87	34.49	34.4666	33.3752
240	34.95	36.23	34.87	34.49	34.4658	33.3745
241	34.95	36.23	34.87	34.49	34.4651	33.3739
242	34.95	36.23	34.87	34.49	34.4643	33.3733
243	34.95	36.23	34.87	34.49	34.4635	33.3727
244	34.95	36.23	34.87	34.49	34.4628	33.3721
245	34.95	36.23	34.87	34.49	34.4620	33.3715
246	34.95	36.23	34.87	34.49	34.4612	33.3709
247	34.95	36.23	34.87	34.49	34.4605	33.3703
248	34.95	36.23	34.87	34.49	34.4597	33.3697
249	34.95	36.23	34.87	34.49	34.4590	33.3691
250	34.95	36.23	34.87	34.49	34.4582	33.3685
251	34.95	36.23	34.87	34.49	34.4575	33.3679
252	34.95	36.23	34.87	34.49	34.4567	33.3673
253	34.95	36.23	34.87	34.49	34.4560	33.3668
254	34.95	36.23	34.87	34.49	34.4552	33.3662
255	34.95	36.23	34.87	34.49	34.4545	33.3656
256	34.95	36.23	34.87	34.49	34.4538	33.3651
257	34.95	36.23	34.87	34.49	34.4530	33.3645
258	34.95	36.23	34.87	34.49	34.4523	33.3640
259	34.95	36.23	34.87	34.49	34.4516	33.3634
260	34.95	36.23	34.87	34.49	34.4509	33.3629
261	34.95	36.23	34.87	34.49	34.4502	33.3624
262	34.95	36.23	34.87	34.49	34.4495	33.3618
263	34.95	36.23	34.87	34.49	34.4488	33.3613
264	34.95	36.23	34.87	34.49	34.4481	33.3608
265	34.95	36.23	34.87	34.49	34.4474	33.3602
266	34.95	36.23	34.87	34.49	34.4467	33.3597
267	34.95	36.23	34.87	34.49	34.4460	33.3592
268	34.95	36.23	34.87	34.49	34.4453	33.3587
269	34.95	36.23	34.87	34.49	34.4446	33.3582
270	34.95	36.23	34.87	34.49	34.4440	33.3577
271	34.95	36.23	34.87	34.49	34.4433	33.3572
272	34.95	36.23	34.87	34.49	34.4426	33.3567
273	34.95	36.23	34.87	34.49	34.4420	33.3562
274	34.95	36.23	34.87	34.49	34.4413	33.3557
275	34.95	36.23	34.87	34.49	34.4407	33.3552
276	34.95	36.23	34.87	34.49	34.4400	33.3547
277	34.95	36.23	34.87	34.49	34.4394	33.3542
278	34.95	36.23	34.87	34.49	34.4388	33.3537
279	34.95	36.23	34.87	34.49	34.4381	33.3533
280	34.95	36.23	34.87	34.49	34.4375	33.3528
281	34.95	36.23	34.87	34.49	34.4369	33.3523
282	34.95	36.23	34.87	34.49	34.4363	33.3518
283	34.95	36.23	34.87	34.49	34.4356	33.3513
284	34.95	36.23	34.87	34.49	34.4350	33.3509
285	34.95	36.23	34.87	34.49	34.4344	33.3504
286	34.95	36.23	34.87	34.49	34.4338	33.3499
287	34.95	36.23	34.87	34.49	34.4332	33.3495
288	34.95	36.23	34.87	34.49	34.4326	33.3490
289	34.95	36.23	34.87	34.49	34.4320	33.3485
290	34.95	36.23	34.87	34.49	34.4314	33.3481
291	34.95	36.23	34.87	34.49	34.4308	33.3476
292	34.95	36.23	34.87	34.49	34.4303	33.3472
293	34.95	36.23	34.87	34.49	34.4297	33.3467
294	34.95	36.23	34.87	34.49	34.4291	33.3462
295	34.95	36.23	34.87	34.49	34.4285	33.3458
296	34.95	36.23	34.87	34.49	34.4280	33.3453
297	34.95	36.23	34.87	34.49	34.4274	33.3449
298	34.95	36.23	34.87	34.49	34.4269	33.3444
299	34.95	36.23	34.87	34.49	34.4263	33.3440
300	34.95	36.23	34.87	34.49	34.4258	33.3435
301	34.95	36.23	34.87	34.49	34.4252	33.3430
302	34.95	36.23	34.87	34.49	34.4247	33.3426
303	34.95	36.23	34.87	34.49	34.4242	33.3421
304	34.95	36.23	34.87	34.49	34.4236	33.3417
305	34.95	36.23	34.87	34.49	34.4231	33.3412
306	34.95	36.23	34.87	34.49	34.4226	33.3408
307	34.95	36.23	34.87	34.49	34.4221	33.3403
308	34.95	36.23	34.87	34.49	34.4216	33.3399
309	34.95	36.23	34.87	34.49	34.4211	33.3395
310	34.95	36.23	34.87	34.49	34.4206	33.3390
311	34.95	36.23	34.87	34.49	34.4201	33.3386
312	34.95	36.23	34.87	34.49	34.4196	33.3381
313	34.95	36.23	34.87	34.49	34.4191	33.3377
314	34.95	36.23	34.87	34.49	34.4186	33.3372
315	34.95	36.23	34.87	34.49	34.4182	33.3368
316	34.95	36.23	34.87	34.49	34.4177	33.3364
317	34.95	36.23	34.87	34.49	34.4172	33.3359
318	34.95	36.23	34.87	34.49	34.4167	33.3355
319	34.95	36.23	34.87	34.49	34.4163	33.3351
320	34.95	36.23	34.87	34.49	34.4158	33.3347
321	34.95	36.23	34.87	34.49	34.4154	33.3342
322	34.95	36.23	34.87	34.49	34.4149	33.3338
323	34.95	36.23	34.87	34.49	34.4145	33.3334
324	34.95	36.23	34.87	34.49	34.4141	33.3330
325	34.95	36.23	34.87	34.49	34.4136	33.3325
326	34.95	36.23	34.87	34.49	34.4132	33.3321
327	34.95	36.23	34.87	34.49	34.4128	33.3317
328	34.95	36.23	34.87	34.49	34.4124	33.3313
329	34.95	36.23	34.87	34.49	34.4119	33.3309
330	34.95	36.23	34.87	34.49	34.4115	33.3305
331	34.95	36.23	34.87	34.49	34.4111	33.3301
332	34.95	36.23	34.87	34.49	34.4107	33.3297
333	34.95	36.23	34.87	34.49	34.4103	33.3293
334	34.95	36.23	34.87	34.49	34.4099	33.3289
335	34.95	36.23	34.87	34.49	34.4095	33.3285
336	34.95	36.23	34.87	34.49	34.4091	33.3281
337	34.95	36.23	34.87	34.49	34.4088	33.3277
338	34.95	36.23	34.87	34.49	34.4084	33.3273
339	34.95	36.23	34.87	34.49	34.4080	33.3269
340	34.95	36.23	34.87	34.49	34.4076	33.3265
341	34.95	36.23	34.87	34.49	34.4073	33.3261
342	34.95	36.23	34.87	34.49	34.4069	33.3257
343	34.95	36.23	34.87	34.49	34.4065	33.3253
344	34.95	36.23	34.87	34.49	34.4062	33.3249
345	34.95	36.23	34.87	34.49	34.4058	33.3245
346	34.95	36.23	34.87	34.49	34.4055	33.3241
347	34.95	36.23	34.87	34.49	34.4051	33.3237
348	34.95	36.23	34.87	34.49	34.4048	33.3233
349	34.95	36.23	34.87	34.49	34.4045	33.3230
350	34.95	36.23	34.87	34.49	34.4041	33.3226
351	34.95	36.23	34.87	34.49	34.4038	33.3222
352	34.95	36.23	34.87	34.49	34.4035	33.3218
353	34.95	36.23	34.87	34.49	34.4031	33.3214
354	34.95	36.23	34.87	34.49	34.4028	33.3210
355	34.95	36.23	34.87	34.49	34.4025	33.3206
356	34.95	36.23	34.87	34.49	34.4022	33.3203
357	34.95	36.23	34.87	34.49	34.4019	33.3199
358	34.95	36.23	34.87	34.49	34.4016	33.3195
359	34.95	36.23	34.87	34.49	34.4012	33.3191
360	34.95	36.23	34.87	34.49	34.4009	33.3187
361	34.95	36.23	34.87	34.49	34.4006	33.3184
362	34.95	36.23	34.87	34.49	34.4003	33.3180
363	34.95	36.23	34.87	34.49	34.4000	33.3176
364	34.95	36.23	34.87	34.49	34.3997	33.3172
365	34.95	36.23	34.87	34.49	34.3994	33.3169
366	34.95	36.23	34.87	34.49	34.3991	33.3165
367	34.95	36.23	34.87	34.49	34.3989	33.3161
368	34.95	36.23	34.87	34.49	34.3986	33.3157
369	34.95	36.23	34.87	34.49	34.3983	33.3154
370	34.95	36.23	34.87	34.49	34.3980	33.3150
371	34.95	36.23	34.87	34.49	34.3977	33.3146
372	34.95	36.23	34.87	34.49	34.3974	33.3143
373	34.95	36.23	34.87	34.49	34.3972	33.3139
374	34.95	36.23	34.87	34.49	34.3969	33.3136
375	34.95	36.23	34.87	34.49	34.3966	33.3132
376	34.95	36.23	34.87	34.49	34.3963	33.3128
377	34.95	36.23	34.87	34.49	34.3961	33.3125
378	34.95	36.23	34.87	34.49	34.3958	33.3121
379	34.95	36.23	34.87	34.49	34.3955	33.3118
380	34.95	36.23	34.87	34.49	34.3953	33.3114
381	34.95	36.23	34.87	34.49	34.3950	33.3111
382	34.95	36.23	34.87	34.49	34.3948	33.3108
383	34.95	36.23	34.87	34.49	34.3945	33.3104
384	34.95	36.23	34.87	34.49	34.3942	33.3101
385	34.95	36.23	34.87	34.49	34.3940	33.3098
386	34.95	36.23	34.87	34.49	34.3937	33.3094
387	34.95	36.23	34.87	34.49	34.3935	33.3091
388	34.95	36.23	34.87	34.49	34.3932	33.3088
389	34.95	36.23	34.87	34.49	34.3930	33.3084
390	34.95	36.23	34.87	34.49	34.3928	33.3081
391	34.95	36.23	34.87	34.49	34.3925	33.3078
392	34.95	36.23	34.87	34.49	34.3923	33.3075
393	34.95	36.23	34.87	34.49	34.3920	33.3072
394	34.95	36.23	34.87	34.49	34.3918	33.3068
395	34.95	36.23	34.87	34.49	34.3916	33.3065
396	34.95	36.23	34.87	34.49	34.3913	33.3062
397	34.95	36.23	34.87	34.49	34.3911	33.3059
398	34.95	36.23	34.87	34.49	34.3909	33.3056
399	34.95	36.23	34.87	34.49	34.3906	33.3053
400	34.95	36.23	34.87	34.49	34.3904	33.3050
401	34.95	36.23	34.87	34.49	34.3902	33.3047
402	34.95	36.23	34.87	34.49	34.3899	33.3044
403	34.95	36.23	34.87	34.49	34.3897	33.3041
404	34.95	36.23	34.87	34.49	34.3895	33.3038
405	34.95	36.23	34.87	34.49	34.3892	33.3035
406	34.95	36.23	34.87	34.49	34.3890	33.3032
407	34.95	36.23	34.87	34.49	34.3888	33.3029
408	34.95	36.23	34.87	34.49	34.3886	33.3026
409	34.95	36.23	34.87	34.49	34.3883	33.3023
410	34.95	36.23	34.87	34.49	34.3881	33.3020
411	34.95	36.23	34.87	34.49	34.3879	33.3018
412	34.95	36.23	34.87	34.49	34.3877	33.3015
413	34.95	36.23	34.87	34.49	34.3875	33.3012
414	34.95	36.23	34.87	34.49	34.3873	33.3009
415	34.95	36.23	34.87	34.49	34.3870	33.3006
416	34.95	36.23	34.87	34.49	34.3868	33.3004
417	34.95	36.23	34.87	34.49	34.3866	33.3001
418	34.95	36.23	34.87	34.49	34.3864	33.2998
419	34.95	36.23	34.87	34.49	34.3862	33.2995
420	34.95	36.23	34.87	34.49	34.3860	33.2992
421	34.95	36.23	34.87	34.49	34.3858	33.2990
422	34.95	36.23	34.87	34.49	34.3856	33.2987
423	34.95	36.23	34.87	34.49	34.3854	33.2984
424	34.95	36.23	34.87	34.49	34.3852	33.2982
425	34.95	36.23	34.87	34.49	34.3850	33.2979
426	34.95	36.23	34.87	34.49	34.3848	33.2976
427	34.95	36.23	34.87	34.49	34.3846	33.2974
