rom	bdrate	romsym	bdratesym
8.44	-1.29	5.44	1.29
8.48	-1.30	5.44	1.30
8.58	-1.31	5.44	1.31
8.67	-1.31	5.44	1.31
8.72	-1.30	5.44	1.30
8.81	-1.31	5.44	1.31
9.56	-1.31	6.19	1.31
9.75	-1.31	6.19	1.31
9.80	-1.30	6.19	1.30
9.89	-1.31	6.19	1.31
10.08	-1.32	6.19	1.32
10.13	-1.30	6.19	1.30
10.22	-1.32	6.19	1.32
10.41	-1.33	6.38	1.33
10.50	-1.33	6.38	1.33
10.59	-1.32	6.38	1.32
10.69	-1.33	6.38	1.33
10.78	-1.32	6.38	1.32
10.88	-1.33	6.38	1.33
11.06	-1.33	6.56	1.33
11.16	-1.32	6.56	1.32
11.34	-1.33	6.75	1.33
11.53	-1.33	6.75	1.33
11.72	-1.33	6.94	1.33
11.81	-1.32	6.94	1.32
11.91	-1.34	6.94	1.34
12.00	-1.32	6.94	1.32
12.75	-1.34	7.69	1.34
12.94	-1.34	7.69	1.34
13.31	-1.34	7.69	1.34
13.41	-1.35	7.69	1.35
13.59	-1.36	7.69	1.36
13.69	-1.34	7.69	1.34
13.78	-1.33	7.69	1.33
13.97	-1.35	7.88	1.35
14.16	-1.35	7.88	1.35
14.25	-1.33	7.88	1.33
14.44	-1.34	7.88	1.34
14.63	-1.34	7.88	1.34
14.81	-1.35	7.88	1.35
15.00	-1.34	7.88	1.34
15.19	-1.34	7.88	1.34
15.38	-1.34	7.88	1.34
15.75	-1.35	8.25	1.35
15.94	-1.34	8.25	1.34
16.13	-1.34	8.25	1.34
16.31	-1.34	8.25	1.34
16.50	-1.35	8.25	1.35
16.88	-1.36	8.63	1.36
17.06	-1.35	8.63	1.35
17.25	-1.34	8.63	1.34
17.63	-1.35	9.00	1.35
18.00	-1.36	9.38	1.36
18.19	-1.34	9.38	1.34
18.56	-1.36	9.75	1.36
18.94	-1.36	9.75	1.36
19.13	-1.36	9.75	1.36
19.31	-1.35	9.75	1.35
19.69	-1.35	10.13	1.35
19.88	-1.32	10.13	1.32
20.25	-1.35	10.50	1.35
20.63	-1.35	10.50	1.35
20.81	-1.34	10.50	1.34
0.75	-0.45	0.56	0.45
0.80	-0.54	0.61	0.54
0.84	-0.63	0.61	0.63
0.89	-0.67	0.66	0.67
0.94	-0.72	0.70	0.72
0.98	-0.77	0.75	0.77
1.03	-0.80	0.80	0.80
1.08	-0.82	0.84	0.82
1.13	-0.83	0.89	0.83
1.17	-0.86	0.94	0.86
1.22	-0.88	0.94	0.88
1.27	-0.90	0.98	0.90
1.31	-0.91	1.03	0.91
1.36	-0.92	1.08	0.92
1.41	-0.93	1.08	0.93
1.45	-0.93	1.13	0.93
1.50	-0.94	1.17	0.94
1.55	-0.95	1.17	0.95
1.64	-0.96	1.27	0.96
1.69	-0.97	1.31	0.97
1.88	-1.00	1.50	1.00
1.92	-1.01	1.50	1.01
1.97	-1.03	1.55	1.03
2.02	-1.03	1.59	1.03
2.06	-1.03	1.59	1.03
2.11	-1.04	1.59	1.04
2.16	-1.05	1.59	1.05
2.53	-1.07	1.97	1.07
2.58	-1.08	1.97	1.08
2.63	-1.09	1.97	1.09
2.67	-1.09	1.97	1.09
2.72	-1.10	2.02	1.10
2.77	-1.09	2.06	1.09
2.81	-1.10	2.06	1.10
2.86	-1.10	2.06	1.10
2.95	-1.11	2.16	1.11
3.05	-1.13	2.25	1.13
3.09	-1.14	2.25	1.14
3.28	-1.16	2.44	1.16
3.33	-1.17	2.48	1.17
3.42	-1.19	2.48	1.19
3.47	-1.20	2.48	1.20
3.52	-1.21	2.48	1.21
3.56	-1.22	2.48	1.22
3.61	-1.23	2.48	1.23
3.66	-1.23	2.53	1.23
3.70	-1.24	2.53	1.24
3.75	-1.24	2.53	1.24
3.94	-1.25	2.72	1.25
3.98	-1.26	2.77	1.26
4.03	-1.26	2.77	1.26
4.78	-1.26	3.52	1.26
4.83	-1.27	3.52	1.27
4.92	-1.27	3.61	1.27
4.97	-1.27	3.61	1.27
5.02	-1.28	3.61	1.28
5.06	-1.29	3.66	1.29
5.16	-1.29	3.75	1.29
5.34	-1.30	3.75	1.30
5.39	-1.30	3.75	1.30
5.44	-1.30	3.75	1.30
5.81	-1.30	4.13	1.30
5.86	-1.31	4.13	1.31
5.91	-1.31	4.13	1.31
5.95	-1.32	4.13	1.32
6.00	-1.32	4.13	1.32
6.05	-1.32	4.13	1.32
6.14	-1.33	4.22	1.33
6.33	-1.33	4.41	1.33
6.38	-1.33	4.41	1.33
6.42	-1.34	4.41	1.34
6.47	-1.34	4.41	1.34
6.56	-1.34	4.41	1.34
6.66	-1.35	4.50	1.35
6.70	-1.34	4.50	1.34
6.75	-1.34	4.50	1.34
6.94	-1.35	4.69	1.35
7.03	-1.35	4.78	1.35
7.08	-1.34	4.78	1.34
7.45	-1.35	5.16	1.35
7.50	-1.35	5.16	1.35
7.55	-1.35	5.16	1.35
7.59	-1.34	5.16	1.34
7.69	-1.35	5.16	1.35
7.73	-1.35	5.16	1.35
7.83	-1.35	5.25	1.35
7.92	-1.36	5.25	1.36
8.02	-1.37	5.34	1.37
8.06	-1.36	5.34	1.36
8.16	-1.37	5.34	1.37
8.25	-1.37	5.34	1.37
8.30	-1.36	5.34	1.36
8.39	-1.37	5.44	1.37
8.58	-1.38	5.63	1.38
8.63	-1.36	5.63	1.36
8.67	-1.37	5.63	1.37
8.77	-1.38	5.63	1.38
8.86	-1.38	5.63	1.38
8.91	-1.37	5.63	1.37
9.00	-1.38	5.63	1.38
9.75	-1.38	6.38	1.38
9.94	-1.38	6.38	1.38
9.98	-1.37	6.38	1.37
10.08	-1.38	6.38	1.38
10.27	-1.39	6.38	1.39
10.31	-1.37	6.38	1.37
10.41	-1.39	6.38	1.39
10.59	-1.40	6.56	1.40
10.69	-1.40	6.56	1.40
10.78	-1.39	6.56	1.39
10.88	-1.40	6.56	1.40
10.97	-1.39	6.56	1.39
11.06	-1.40	6.56	1.40
11.25	-1.40	6.75	1.40
11.34	-1.40	6.75	1.40
11.53	-1.40	6.94	1.40
11.72	-1.40	6.94	1.40
11.91	-1.41	7.13	1.41
12.00	-1.39	7.13	1.39
12.09	-1.41	7.13	1.41
12.19	-1.40	7.13	1.40
12.94	-1.41	7.88	1.41
13.13	-1.41	7.88	1.41
13.50	-1.41	7.88	1.41
13.59	-1.42	7.88	1.42
13.78	-1.43	7.88	1.43
13.88	-1.41	7.88	1.41
13.97	-1.41	7.88	1.41
14.16	-1.42	8.06	1.42
14.34	-1.42	8.06	1.42
14.44	-1.40	8.06	1.40
14.63	-1.41	8.06	1.41
14.81	-1.41	8.06	1.41
15.00	-1.42	8.06	1.42
15.19	-1.41	8.06	1.41
15.38	-1.41	8.06	1.41
15.56	-1.41	8.06	1.41
15.94	-1.42	8.44	1.42
16.13	-1.41	8.44	1.41
16.31	-1.41	8.44	1.41
16.50	-1.42	8.44	1.42
16.69	-1.42	8.44	1.42
17.06	-1.43	8.81	1.43
17.25	-1.42	8.81	1.42
17.44	-1.41	8.81	1.41
17.81	-1.42	9.19	1.42
18.19	-1.43	9.56	1.43
18.38	-1.42	9.56	1.42
18.75	-1.43	9.94	1.43
19.13	-1.43	9.94	1.43
19.31	-1.43	9.94	1.43
19.50	-1.42	9.94	1.42
19.88	-1.42	10.31	1.42
20.06	-1.39	10.31	1.39
20.44	-1.42	10.69	1.42
20.81	-1.42	10.69	1.42
21.00	-1.42	10.69	1.42
0.94	-0.55	0.75	0.55
0.98	-0.64	0.80	0.64
1.03	-0.72	0.80	0.72
1.08	-0.77	0.84	0.77
1.13	-0.82	0.89	0.82
1.17	-0.86	0.94	0.86
1.22	-0.90	0.98	0.90
1.27	-0.91	1.03	0.91
1.31	-0.92	1.08	0.92
1.36	-0.95	1.13	0.95
1.41	-0.97	1.13	0.97
1.45	-0.99	1.17	0.99
1.50	-1.00	1.22	1.00
1.55	-1.01	1.27	1.01
1.59	-1.02	1.27	1.02
1.64	-1.02	1.31	1.02
1.69	-1.03	1.36	1.03
1.73	-1.05	1.36	1.05
1.83	-1.05	1.45	1.05
1.88	-1.07	1.50	1.07
2.06	-1.09	1.69	1.09
2.11	-1.10	1.69	1.10
2.16	-1.12	1.73	1.12
2.20	-1.12	1.78	1.12
2.25	-1.13	1.78	1.13
2.30	-1.13	1.78	1.13
2.34	-1.14	1.78	1.14
2.72	-1.16	2.16	1.16
2.77	-1.17	2.16	1.17
2.81	-1.18	2.16	1.18
2.86	-1.18	2.16	1.18
2.91	-1.19	2.20	1.19
2.95	-1.19	2.25	1.19
3.00	-1.19	2.25	1.19
